"Luumäki";"2014";4949;2519;2430
"Luvia";"2014";3340;1691;1649
"Längelmäki";"2014";0;0;0
"Maalahti;Malax";"2014";5573;2843;2730
"Maaninka";"2014";3746;1906;1840
"Maarianhamina;Mariehamn";"2014";11479;5519;5960
"Maksamaa;Maxmo";"2014";0;0;0
"Marttila";"2014";2070;1050;1020
"Masku";"2014";9767;4936;4831
"Mellilä";"2014";0;0;0
"Merijärvi";"2014";1150;627;523
"Merikarvia;Sastmola";"2014";3246;1610;1636
"Merimasku";"2014";0;0;0
"Miehikkälä";"2014";2123;1071;1052
"Mietoinen";"2014";0;0;0
"Mikkeli;S:t Michel";"2014";54605;26606;27999
"Mouhijärvi";"2014";0;0;0
"Muhos";"2014";8986;4568;4418
"Multia";"2014";1763;922;841
"Muonio";"2014";2375;1188;1187
"Mustasaari;Korsholm";"2014";19287;9705;9582
"Muurame";"2014";9700;4882;4818
"Muurla";"2014";0;0;0
"Mynämäki";"2014";7917;3954;3963
"Myrskylä;Mörskom";"2014";1985;984;1001
"Mäntsälä";"2014";20621;10204;10417
"Mänttä";"2014";0;0;0
"Mänttä-Vilppula";"2014";10723;5246;5477
"Mäntyharju";"2014";6266;3092;3174
"Naantali;Nådendal";"2014";18871;9149;9722
"Nakkila";"2014";5651;2822;2829
"Nastola";"2014";14890;7491;7399
"Nauvo;Nagu";"2014";0;0;0
"Nilsiä";"2014";0;0;0
"Nivala";"2014";10945;5582;5363
"Nokia";"2014";32847;16284;16563
"Noormarkku;Norrmark";"2014";0;0;0
"Nousiainen;Nousis";"2014";4844;2471;2373
"Nummi-Pusula";"2014";0;0;0
"Nurmes";"2014";8082;4072;4010
"Nurmijärvi";"2014";41577;20704;20873
"Nurmo";"2014";0;0;0
"Närpiö;Närpes";"2014";9389;4750;4639
"Oravainen;Oravais";"2014";0;0;0
"Orimattila";"2014";16288;8081;8207
"Oripää";"2014";1417;708;709
"Orivesi";"2014";9579;4712;4867
"Oulainen";"2014";7725;3780;3945
"Oulu;Uleåborg";"2014";196291;97719;98572
"Oulunsalo";"2014";0;0;0
"Outokumpu";"2014";7172;3557;3615
"Padasjoki";"2014";3197;1605;1592
"Paimio;Pemar";"2014";10628;5251;5377
"Paltamo";"2014";3564;1842;1722
"Parainen;Pargas (entinen)";"2014";0;0;0
"Parainen;Pargas (entinen Länsi-Turunmaa;Väståboland)";"2014";15494;7690;7804
"Parikkala";"2014";5373;2709;2664
"Parkano";"2014";6808;3454;3354
"Pedersören kunta;Pedersöre";"2014";11060;5705;5355
"Pelkosenniemi";"2014";947;525;422
"Pello";"2014";3676;1884;1792
"Perho";"2014";2893;1458;1435
"Pernaja;Pernå";"2014";0;0;0
"Perniö;Bjärnå";"2014";0;0;0
"Pertteli";"2014";0;0;0
"Pertunmaa";"2014";1832;943;889
"Peräseinäjoki";"2014";0;0;0
"Petäjävesi";"2014";4081;2066;2015
"Pieksämäen mlk;Pieksämäki lk";"2014";0;0;0
"Pieksämäki";"2014";19051;9361;9690
"Pieksänmaa";"2014";0;0;0
"Pielavesi";"2014";4787;2460;2327
"Pietarsaari;Jakobstad";"2014";19577;9715;9862
"Pihtipudas";"2014";4261;2105;2156
"Piikkiö;Pikis";"2014";0;0;0
"Piippola";"2014";0;0;0
"Pirkkala;Birkala";"2014";18689;9224;9465
"Pohja;Pojo";"2014";0;0;0
"Polvijärvi";"2014";4609;2351;2258
"Pomarkku;Påmark";"2014";2275;1166;1109
"Pori;Björneborg";"2014";83515;40527;42988
"Pornainen;Borgnäs";"2014";5148;2613;2535
"Porvoo;Borgå";"2014";49728;24425;25303
"Posio";"2014";3633;1898;1735
"Pudasjärvi";"2014";8399;4398;4001
"Pukkila";"2014";2013;1007;1006
"Pulkkila";"2014";0;0;0
"Punkaharju";"2014";0;0;0
"Punkalaidun";"2014";3117;1592;1525
"Puolanka";"2014";2824;1460;1364
"Puumala";"2014";2306;1171;1135
"Pyhtää;Pyttis";"2014";5354;2677;2677
"Pyhäjoki";"2014";3290;1699;1591
"Pyhäjärvi";"2014";5562;2798;2764
"Pyhäntä";"2014";1562;814;748
"Pyhäranta";"2014";2136;1087;1049
"Pyhäselkä";"2014";0;0;0
"Pylkönmäki";"2014";0;0;0
"Pälkäne";"2014";6722;3368;3354
"Pöytyä";"2014";8619;4414;4205
"Raahe;Brahestad";"2014";25383;12917;12466
"Raasepori;Raseborg";"2014";28674;14102;14572
"Raisio;Reso";"2014";24371;11927;12444
"Rantasalmi";"2014";3815;1911;1904
"Rantsila";"2014";0;0;0
"Ranua";"2014";4093;2134;1959
"Rauma;Raumo";"2014";39970;19777;20193
"Rautalampi";"2014";3374;1672;1702
"Rautavaara";"2014";1768;960;808
"Rautjärvi";"2014";3626;1836;1790
"Reisjärvi";"2014";2901;1491;1410
"Renko";"2014";0;0;0
"Riihimäki";"2014";29350;14466;14884
"Ristiina";"2014";0;0;0
"Ristijärvi";"2014";1416;728;688
"Rovaniemen mlk;Rovaniemi lk";"2014";0;0;0
"Rovaniemi";"2014";61551;29961;31590
"Ruokolahti";"2014";5404;2683;2721
"Ruotsinpyhtää;Strömfors";"2014";0;0;0
"Ruovesi";"2014";4689;2387;2302
"Rusko";"2014";6045;2987;3058
"Ruukki";"2014";0;0;0
"Rymättylä;Rimito";"2014";0;0;0
"Rääkkylä";"2014";2435;1277;1158
"Saari";"2014";0;0;0
"Saarijärvi";"2014";10084;5030;5054
"Sahalahti";"2014";0;0;0
"Salla";"2014";3781;2021;1760
"Salo";"2014";54238;26679;27559
"Saltvik";"2014";1825;920;905
"Sammatti";"2014";0;0;0
"Sastamala";"2014";25372;12559;12813
"Sauvo;Sagu";"2014";2999;1501;1498
"Savitaipale";"2014";3667;1829;1838
"Savonlinna;Nyslott";"2014";35944;17468;18476
"Savonranta";"2014";0;0;0
"Savukoski";"2014";1103;596;507
"Seinäjoki";"2014";60880;29611;31269
"Sievi";"2014";5154;2656;2498
"Siikainen";"2014";1593;842;751
"Siikajoki";"2014";5526;2877;2649
"Siikalatva";"2014";5816;3078;2738
"Siilinjärvi";"2014";21668;10833;10835
"Simo";"2014";3296;1688;1608
"Sipoo;Sibbo";"2014";19034;9502;9532
"Siuntio;Sjundeå";"2014";6199;3146;3053
"Sodankylä";"2014";8820;4600;4220
"Soini";"2014";2273;1149;1124
"Somero";"2014";9173;4569;4604
"Sonkajärvi";"2014";4336;2266;2070
"Sotkamo";"2014";10598;5255;5343
"Sottunga";"2014";101;53;48
"Sulkava";"2014";2789;1390;1399
"Sumiainen";"2014";0;0;0
"Sund";"2014";1035;524;511
"Suodenniemi";"2014";0;0;0
"Suolahti";"2014";0;0;0
"Suomenniemi";"2014";0;0;0
"Suomusjärvi";"2014";0;0;0
"Suomussalmi";"2014";8486;4339;4147
"Suonenjoki";"2014";7419;3702;3717
"Sysmä";"2014";4097;2008;2089
"Säkylä";"2014";4539;2230;2309
"Särkisalo;Finby";"2014";0;0;0
"Taipalsaari";"2014";4798;2446;2352
"Taivalkoski";"2014";4231;2259;1972
"Taivassalo;Tövsala";"2014";1645;833;812
"Tammela";"2014";6395;3211;3184
"Tammisaari;Ekenäs";"2014";0;0;0
"Tampere;Tammerfors";"2014";223004;107951;115053
"Tarvasjoki";"2014";1968;982;986
"Tervo";"2014";1627;846;781
"Tervola";"2014";3239;1698;1541
"Teuva;Östermark";"2014";5543;2799;2744
"Tohmajärvi";"2014";4794;2475;2319
"Toholampi";"2014";3354;1682;1672
"Toijala";"2014";0;0;0
"Toivakka";"2014";2472;1272;1200
"Tornio;Torneå";"2014";22322;11202;11120
"Turku;Åbo";"2014";183824;87324;96500
"Tuulos";"2014";0;0;0
"Tuupovaara";"2014";0;0;0
"Tuusniemi";"2014";2750;1392;1358
"Tuusula;Tusby";"2014";38198;19011;19187
"Tyrnävä";"2014";6735;3434;3301
"Töysä";"2014";0;0;0
"Ullava";"2014";0;0;0
"Ulvila;Ulvsby";"2014";13322;6625;6697
"Urjala";"2014";4984;2476;2508
"Utajärvi";"2014";2907;1535;1372
"Utsjoki";"2014";1260;686;574
"Uukuniemi";"2014";0;0;0
"Uurainen";"2014";3611;1865;1746
"Uusikaarlepyy;Nykarleby";"2014";7533;3863;3670
"Uusikaupunki;Nystad";"2014";15567;7792;7775
"Vaala";"2014";3139;1631;1508
"Vaasa;Vasa";"2014";66965;33399;33566
"Vahto";"2014";0;0;0
